U_ID,Country,,Year,Undernourishment_Percent
222,IDA total,#N/A,2011,20.31193558
223,IDA total,#N/A,2012,19.89006894
224,IDA total,#N/A,2013,19.62031109
225,India,77,2010,15.7
226,India,77,2011,15.6
227,India,77,2012,15.4
228,India,77,2013,15.4
229,Indonesia,78,2010,13.5
230,Indonesia,78,2011,11.1
231,Indonesia,78,2012,9.3
232,Indonesia,78,2013,8.2
233,Iran,79,2010,6.4
234,Iran,79,2011,6.2
235,Iran,79,2012,5.9
236,Iran,79,2013,5.7
237,Iraq,80,2010,25.2
238,Iraq,80,2011,24.5
239,Iraq,80,2012,24
240,Iraq,80,2013,23.6
241,Jamaica,84,2010,8.2
242,Jamaica,84,2011,8.3
243,Jamaica,84,2012,8.5
244,Jamaica,84,2013,8.8
245,Jordan,86,2010,5
246,Jordan,86,2011,5
247,Jordan,86,2012,5
248,Jordan,86,2013,5
249,Kazakhstan,87,2010,5
250,Kazakhstan,87,2011,5
251,Kazakhstan,87,2012,5
252,Kazakhstan,87,2013,5
253,Kenya,88,2010,24.8
254,Kenya,88,2011,23.8
255,Kenya,88,2012,22.8
256,Kenya,88,2013,22.1
257,Kiribati,89,2010,5
258,Kiribati,89,2011,5
259,Kiribati,89,2012,5
260,Kiribati,89,2013,5
261,Kuwait,90,2010,5
262,Kuwait,90,2011,5
263,Kuwait,90,2012,5
264,Kuwait,90,2013,5
265,Kyrgyzstan,91,2010,7.9
266,Kyrgyzstan,91,2011,7.2
267,Kyrgyzstan,91,2012,6.6
268,Kyrgyzstan,91,2013,6.2
269,Laos,92,2010,22.8
270,Laos,92,2011,21.4
271,Laos,92,2012,20.1
272,Laos,92,2013,19.4
273,Late-demographic dividend,#N/A,2010,11.62490026
274,Late-demographic dividend,#N/A,2011,11.0153322
275,Late-demographic dividend,#N/A,2012,10.47251038
276,Late-demographic dividend,#N/A,2013,9.989473841
277,Latin America & Caribbean,#N/A,2010,8.178012339
278,Latin America & Caribbean,#N/A,2011,7.989809945
279,Latin America & Caribbean,#N/A,2012,7.788327169
280,Latin America & Caribbean,#N/A,2013,7.626150588
281,Latin America & Caribbean (IDA & IBRD),#N/A,2010,8.241668954
282,Latin America & Caribbean (IDA & IBRD),#N/A,2011,8.049091127
283,Latin America & Caribbean (IDA & IBRD),#N/A,2012,7.843094277
284,Latin America & Caribbean (IDA & IBRD),#N/A,2013,7.677271426
285,Latin America & Caribbean (excluding high income),#N/A,2010,8.288537962
286,Latin America & Caribbean (excluding high income),#N/A,2011,8.093396856
287,Latin America & Caribbean (excluding high income),#N/A,2012,7.885201739
288,Latin America & Caribbean (excluding high income),#N/A,2013,7.71785846
289,Least developed countries: UN classification,#N/A,2010,24.68293252
290,Least developed countries: UN classification,#N/A,2011,23.9594873
291,Least developed countries: UN classification,#N/A,2012,23.38077574
292,Least developed countries: UN classification,#N/A,2013,22.9669151
293,Lebanon,94,2010,5
294,Lebanon,94,2011,5
295,Lebanon,94,2012,5
296,Lebanon,94,2013,5
297,Lesotho,95,2010,11.4
298,Lesotho,95,2011,11.2
299,Lesotho,95,2012,11.1
300,Lesotho,95,2013,11.2
301,Liberia,96,2010,34.9
302,Liberia,96,2011,34.7
303,Liberia,96,2012,34.2
304,Liberia,96,2013,33.4
305,Low & middle income,#N/A,2010,14.343214
306,Low & middle income,#N/A,2011,13.86823932
307,Low & middle income,#N/A,2012,13.44724703
308,Low & middle income,#N/A,2013,13.16502452
309,Low income,#N/A,2010,28.61975377
310,Low income,#N/A,2011,27.81122842
311,Low income,#N/A,2012,27.15989095
312,Low income,#N/A,2013,26.71495769
313,Lower middle income,#N/A,2010,15.29020396
314,Lower middle income,#N/A,2011,14.87874789
315,Lower middle income,#N/A,2012,14.49571901
316,Lower middle income,#N/A,2013,14.30087643
317,Madagascar,99,2010,31.6
318,Madagascar,99,2011,31.7
319,Madagascar,99,2012,32
320,Madagascar,99,2013,32.5
321,Malawi,100,2010,21.8
322,Malawi,100,2011,21.3
323,Malawi,100,2012,21
324,Malawi,100,2013,20.8
325,Malaysia,101,2010,5
326,Malaysia,101,2011,5
327,Malaysia,101,2012,5
328,Malaysia,101,2013,5
329,Maldives,102,2010,10
330,Maldives,102,2011,8.7
331,Maldives,102,2012,7.7
332,Maldives,102,2013,6.7
333,Mali,103,2010,5
334,Mali,103,2011,5
335,Mali,103,2012,5
336,Mali,103,2013,5
337,Mauritania,105,2010,7.9
338,Mauritania,105,2011,7.6
339,Mauritania,105,2012,7.1
340,Mauritania,105,2013,6.4
341,Mauritius,106,2010,5
342,Mauritius,106,2011,5
343,Mauritius,106,2012,5
344,Mauritius,106,2013,5
345,Mexico,107,2010,5
346,Mexico,107,2011,5
347,Mexico,107,2012,5
348,Mexico,107,2013,5
349,Middle East & North Africa,#N/A,2010,8.686284022
350,Middle East & North Africa,#N/A,2011,8.524874415
351,Middle East & North Africa,#N/A,2012,8.378770447
352,Middle East & North Africa,#N/A,2013,8.308893435
353,Middle East & North Africa (IDA & IBRD),#N/A,2010,9.182415901
354,Middle East & North Africa (IDA & IBRD),#N/A,2011,9.012167519
355,Middle East & North Africa (IDA & IBRD),#N/A,2012,8.852704993
356,Middle East & North Africa (IDA & IBRD),#N/A,2013,8.779513048
357,Middle East & North Africa (excluding high income),#N/A,2010,9.182415901
358,Middle East & North Africa (excluding high income),#N/A,2011,9.012167519
359,Middle East & North Africa (excluding high income),#N/A,2012,8.852704993
360,Middle East & North Africa (excluding high income),#N/A,2013,8.779513048
361,Middle income,#N/A,2010,13.00275037
362,Middle income,#N/A,2011,12.54058878
363,Middle income,#N/A,2012,12.12288366
364,Middle income,#N/A,2013,11.83764566
365,Mongolia,108,2010,25.9
366,Mongolia,108,2011,24.5
367,Mongolia,108,2012,23.4
368,Mongolia,108,2013,22.5
369,Morocco,110,2010,5.3
370,Morocco,110,2011,5.2
371,Morocco,110,2012,5
372,Morocco,110,2013,5
373,Mozambique,111,2010,31.8
374,Mozambique,111,2011,29.9
375,Mozambique,111,2012,28.5
376,Mozambique,111,2013,27.2
377,Myanmar,112,2010,20.2
378,Myanmar,112,2011,18
379,Myanmar,112,2012,16.5
380,Myanmar,112,2013,15.5
381,Namibia,113,2010,37.6
382,Namibia,113,2011,39.4
383,Namibia,113,2012,40.2
384,Namibia,113,2013,41.4
385,Nepal,114,2010,10.2
386,Nepal,114,2011,9.2
387,Nepal,114,2012,8.5
388,Nepal,114,2013,7.9
389,Nicaragua,119,2010,20.3
390,Nicaragua,119,2011,19.5
391,Nicaragua,119,2012,18.5
392,Nicaragua,119,2013,17.7
393,Niger,120,2010,11.1
394,Niger,120,2011,10.5
395,Niger,120,2012,10.2
396,Niger,120,2013,10
397,Nigeria,121,2010,6.1
398,Nigeria,121,2011,6.2
399,Nigeria,121,2012,6.3
400,Nigeria,121,2013,6.5
401,North Korea,#N/A,2010,41.8
402,North Korea,#N/A,2011,42
403,North Korea,#N/A,2012,41.9
404,North Korea,#N/A,2013,41.8
405,Oman,123,2010,5.9
406,Oman,123,2011,5.4
407,Oman,123,2012,5.3
408,Oman,123,2013,5.1
409,Pacific island small states,#N/A,2010,6.751408862
410,Pacific island small states,#N/A,2011,6.721815485
411,Pacific island small states,#N/A,2012,6.732509237
412,Pacific island small states,#N/A,2013,6.758850747
413,Pakistan,124,2010,21.7
414,Pakistan,124,2011,21.8
415,Pakistan,124,2012,21.9
416,Pakistan,124,2013,22
417,Panama,125,2010,14.8
418,Panama,125,2011,13.4
419,Panama,125,2012,12
420,Panama,125,2013,10.8
421,Paraguay,126,2010,12.4
422,Paraguay,126,2011,12.1
423,Paraguay,126,2012,11.8
424,Paraguay,126,2013,11.6
425,Peru,127,2010,12.2
426,Peru,127,2011,10.7
427,Peru,127,2012,9.6
428,Peru,127,2013,8.8
429,Philippines,128,2010,13
430,Philippines,128,2011,13.4
431,Philippines,128,2012,13.9
432,Philippines,128,2013,14
433,Pre-demographic dividend,#N/A,2010,19.74410681
434,Pre-demographic dividend,#N/A,2011,19.25034509
435,Pre-demographic dividend,#N/A,2012,18.78923581
436,Pre-demographic dividend,#N/A,2013,18.52827551
437,Rwanda,135,2010,37.3
438,Rwanda,135,2011,35.4
439,Rwanda,135,2012,34.3
440,Rwanda,135,2013,33.6
441,Saint Vincent and the Grenadines,138,2010,6.8
442,Saint Vincent and the Grenadines,138,2011,6.4
443,Saint Vincent and the Grenadines,138,2012,6.3
444,Saint Vincent and the Grenadines,138,2013,6.3
445,Samoa,139,2010,5
446,Samoa,139,2011,5
447,Samoa,139,2012,5
448,Samoa,139,2013,5
449,Sao Tome and Principe,140,2010,6.2
450,Sao Tome and Principe,140,2011,5.9
451,Sao Tome and Principe,140,2012,5.9
452,Sao Tome and Principe,140,2013,6.1
453,Saudi Arabia,141,2010,5
454,Saudi Arabia,141,2011,5
455,Saudi Arabia,141,2012,5
456,Saudi Arabia,141,2013,5
457,Senegal,142,2010,13.6
458,Senegal,142,2011,12.9
459,Senegal,142,2012,12.3
460,Senegal,142,2013,11.3
461,Sierra Leone,145,2010,29
462,Sierra Leone,145,2011,27
463,Sierra Leone,145,2012,25
464,Sierra Leone,145,2013,23.5
465,Small states,#N/A,2010,15.79868916
466,Small states,#N/A,2011,15.57996424
467,Small states,#N/A,2012,15.35862774
468,Small states,#N/A,2013,15.30068386
469,Solomon Islands,148,2010,10.9
470,Solomon Islands,148,2011,10.7
471,Solomon Islands,148,2012,10.6
472,Solomon Islands,148,2013,10.6
473,South Africa,149,2010,5
474,South Africa,149,2011,5
475,South Africa,149,2012,5
476,South Africa,149,2013,5
477,South Asia,#N/A,2010,16.66154454
478,South Asia,#N/A,2011,16.57953753
479,South Asia,#N/A,2012,16.42797289
480,South Asia,#N/A,2013,16.43049253
481,South Asia (IDA & IBRD),#N/A,2010,16.66154454
482,South Asia (IDA & IBRD),#N/A,2011,16.57953753
483,South Asia (IDA & IBRD),#N/A,2012,16.42797289
484,South Asia (IDA & IBRD),#N/A,2013,16.43049253
485,South Korea,#N/A,2010,5
486,South Korea,#N/A,2011,5
487,South Korea,#N/A,2012,5
488,South Korea,#N/A,2013,5
489,Sri Lanka,151,2010,26
490,Sri Lanka,151,2011,25.3
491,Sri Lanka,151,2012,24.6
492,Sri Lanka,151,2013,23.8
493,Sub-Saharan Africa,#N/A,2010,20.49339953
494,Sub-Saharan Africa,#N/A,2011,19.87888493
495,Sub-Saharan Africa,#N/A,2012,19.35596469
496,Sub-Saharan Africa,#N/A,2013,19.0195965
497,Sub-Saharan Africa (IDA & IBRD),#N/A,2010,20.49339953
498,Sub-Saharan Africa (IDA & IBRD),#N/A,2011,19.87888493
499,Sub-Saharan Africa (IDA & IBRD),#N/A,2012,19.35596469
500,Sub-Saharan Africa (IDA & IBRD),#N/A,2013,19.0195965
501,Sub-Saharan Africa (excluding high income),#N/A,2010,20.49339953
502,Sub-Saharan Africa (excluding high income),#N/A,2011,19.87888493
503,Sub-Saharan Africa (excluding high income),#N/A,2012,19.35596469
504,Sub-Saharan Africa (excluding high income),#N/A,2013,19.0195965
505,Suriname,154,2010,8.7
506,Suriname,154,2011,8.3
507,Suriname,154,2012,8.3
508,Suriname,154,2013,8.4
509,Swaziland,155,2010,23.6
510,Swaziland,155,2011,24.4
511,Swaziland,155,2012,25.1
512,Swaziland,155,2013,26.1
513,Tajikistan,158,2010,37.4
514,Tajikistan,158,2011,36.8
515,Tajikistan,158,2012,35.9
516,Tajikistan,158,2013,35
517,Tanzania,#N/A,2010,34.7
518,Tanzania,#N/A,2011,34.7
519,Tanzania,#N/A,2012,33.4
520,Tanzania,#N/A,2013,32.7
521,Thailand,159,2010,9.3
522,Thailand,159,2011,8.9
523,Thailand,159,2012,8.6
524,Thailand,159,2013,8.3
525,Timor,161,2010,32.1
526,Timor,161,2011,31.2
527,Timor,161,2012,30.2
528,Timor,161,2013,29
529,Togo,162,2010,20.5
530,Togo,162,2011,18.9
531,Togo,162,2012,17.1
532,Togo,162,2013,14.5
533,Trinidad and Tobago,163,2010,10.2
534,Trinidad and Tobago,163,2011,9.9
535,Trinidad and Tobago,163,2012,9.3
536,Trinidad and Tobago,163,2013,8.7
537,Tunisia,164,2010,5
538,Tunisia,164,2011,5
539,Tunisia,164,2012,5
540,Tunisia,164,2013,5
541,Turkey,165,2010,5
542,Turkey,165,2011,5
543,Turkey,165,2012,5
544,Turkey,165,2013,5
545,Turkmenistan,166,2010,5
546,Turkmenistan,166,2011,5
547,Turkmenistan,166,2012,5
548,Turkmenistan,166,2013,5
549,Uganda,167,2010,25.1
550,Uganda,167,2011,24.8
551,Uganda,167,2012,24.8
552,Uganda,167,2013,25
553,United Arab Emirates,169,2010,5
554,United Arab Emirates,169,2011,5
555,United Arab Emirates,169,2012,5
556,United Arab Emirates,169,2013,5
557,Upper middle income,#N/A,2010,10.32751057
558,Upper middle income,#N/A,2011,9.785180434
559,Upper middle income,#N/A,2012,9.306396522
560,Upper middle income,#N/A,2013,8.89336256
561,Uruguay,173,2010,5
562,Uruguay,173,2011,5
563,Uruguay,173,2012,5
564,Uruguay,173,2013,5
565,Uzbekistan,175,2010,8.5
566,Uzbekistan,175,2011,7.7
567,Uzbekistan,175,2012,6.6
568,Uzbekistan,175,2013,5.5
569,Vanuatu,176,2010,6
570,Vanuatu,176,2011,6.1
571,Vanuatu,176,2012,6.3
572,Vanuatu,176,2013,6.4
573,Venezuela,177,2010,5
574,Venezuela,177,2011,5
575,Venezuela,177,2012,5
576,Venezuela,177,2013,5
577,Vietnam,178,2010,14.5
578,Vietnam,178,2011,13.6
579,Vietnam,178,2012,13
580,Vietnam,178,2013,12.5
581,World,#N/A,2010,12.1
582,World,#N/A,2011,11.8
583,World,#N/A,2012,11.4
584,World,#N/A,2013,11.2
585,Yemen,179,2010,27
586,Yemen,179,2011,26.3
587,Yemen,179,2012,25.8
588,Yemen,179,2013,25.7
589,Zambia,181,2010,51.7
590,Zambia,181,2011,50.3
591,Zambia,181,2012,49.4
592,Zambia,181,2013,48.8
593,Zimbabwe,182,2010,34.7
594,Zimbabwe,182,2011,33.5
595,Zimbabwe,182,2012,33.2
596,Zimbabwe,182,2013,33.5
